subject,func,mean_fd,max_fd,median_fd
148840,rfMRI_REST1_LR,0.12422735916666666,0.576878,0.1164
148941,rfMRI_REST1_LR,0.11230180083333334,0.359575,0.106484
149236,rfMRI_REST1_LR,0.11236369083333334,0.330919,0.107413
149337,rfMRI_REST1_LR,0.090190995,1.092113,0.0789435
149539,rfMRI_REST1_LR,0.15875269666666667,1.207002,0.1373765
149741,rfMRI_REST1_LR,0.17656409833333334,2.606355,0.154702
149842,rfMRI_REST1_LR,0.12060605166666667,0.410166,0.1149495
150423,rfMRI_REST1_LR,0.097129615,0.328186,0.089823
150524,rfMRI_REST1_LR,0.13684342583333334,0.40446,0.133865
150625,rfMRI_REST1_LR,0.12485094166666667,2.183838,0.1137755
150726,rfMRI_REST1_LR,0.20410945666666666,0.706904,0.192606
150928,rfMRI_REST1_LR,0.08992470416666666,1.024958,0.0752775
151021,rfMRI_REST1_LR,0.2433141825,3.560524,0.20154450000000002
151223,rfMRI_REST1_LR,0.35968089833333333,0.999084,0.3171205
151324,rfMRI_REST1_LR,0.19116400916666668,0.752572,0.1843505
151425,rfMRI_REST1_LR,0.16152482083333333,0.660291,0.1534695
151526,rfMRI_REST1_LR,0.4403893325,1.317146,0.368329
151627,rfMRI_REST1_LR,0.109341535,0.362473,0.107843
151728,rfMRI_REST1_LR,0.3764949383333333,4.194626,0.2739965
151829,rfMRI_REST1_LR,0.1172301325,0.435518,0.10802500000000001
151930,rfMRI_REST1_LR,0.09638039,0.515912,0.0928005
152225,rfMRI_REST1_LR,0.14179701416666668,0.446939,0.1316735
152427,rfMRI_REST1_LR,0.10920925666666667,1.129716,0.08724799999999999
152831,rfMRI_REST1_LR,0.1440265975,0.452823,0.131685
153025,rfMRI_REST1_LR,0.086726095,0.952521,0.07631299999999999
153126,rfMRI_REST1_LR,0.21335989166666666,0.533337,0.212922
153227,rfMRI_REST1_LR,0.13444814166666666,0.832571,0.1219005
153429,rfMRI_REST1_LR,0.15280298,0.753674,0.14875100000000002
153631,rfMRI_REST1_LR,0.08976842416666667,0.507034,0.083764
153732,rfMRI_REST1_LR,0.19355188416666666,0.829074,0.17663
153833,rfMRI_REST1_LR,0.411558045,1.244519,0.39030750000000003
153934,rfMRI_REST1_LR,0.17904745833333333,0.500455,0.168568
154229,rfMRI_REST1_LR,0.19090659583333333,0.541221,0.1850105
154330,rfMRI_REST1_LR,0.27532270833333333,1.660574,0.2268105
154431,rfMRI_REST1_LR,0.23611186416666666,0.538614,0.2384075
154532,rfMRI_REST1_LR,0.16333249,1.050084,0.1394285
154734,rfMRI_REST1_LR,0.14452490916666666,0.791546,0.1286205
154835,rfMRI_REST1_LR,0.12890472,0.848585,0.1214775
154936,rfMRI_REST1_LR,0.1518548825,0.80622,0.140862
155231,rfMRI_REST1_LR,0.15840131416666667,0.60798,0.1494525
155635,rfMRI_REST1_LR,0.18819534833333335,0.482791,0.17550549999999998
155938,rfMRI_REST1_LR,0.11792719,0.39135,0.1099855
156031,rfMRI_REST1_LR,0.14055939,0.825606,0.131988
156233,rfMRI_REST1_LR,0.21970882166666666,7.524378,0.16135549999999999
156334,rfMRI_REST1_LR,0.14015670666666666,0.39942,0.120501
156435,rfMRI_REST1_LR,0.10599473166666666,0.757357,0.096564
156536,rfMRI_REST1_LR,0.07598992666666667,0.246408,0.0707815
156637,rfMRI_REST1_LR,0.24663016833333334,1.118068,0.2259085
157336,rfMRI_REST1_LR,0.141754305,0.693595,0.1278685
157437,rfMRI_REST1_LR,0.1406652275,0.732379,0.128376
157942,rfMRI_REST1_LR,0.18624409166666667,0.681772,0.17551
158035,rfMRI_REST1_LR,0.1242197,0.279891,0.1193615
158136,rfMRI_REST1_LR,0.1538766775,1.247433,0.1282195
158338,rfMRI_REST1_LR,0.1309965425,0.354006,0.123722
158540,rfMRI_REST1_LR,0.28174405416666665,1.40624,0.2258645
158843,rfMRI_REST1_LR,0.11364752333333333,0.518324,0.098496
159138,rfMRI_REST1_LR,0.39771722666666665,1.505789,0.3274065
159239,rfMRI_REST1_LR,0.14814413333333334,0.430917,0.13836199999999999
159340,rfMRI_REST1_LR,0.2207366375,0.520159,0.2199125
159441,rfMRI_REST1_LR,0.17171839833333333,2.274661,0.151594
159744,rfMRI_REST1_LR,0.15392308666666665,1.62618,0.1156295
159845,rfMRI_REST1_LR,0.2043802875,3.078393,0.176749
159946,rfMRI_REST1_LR,0.12163395416666667,0.471682,0.1160505
160123,rfMRI_REST1_LR,0.13239261083333334,0.692317,0.11638100000000001
160729,rfMRI_REST1_LR,0.12127167416666666,0.611677,0.11172699999999999
160830,rfMRI_REST1_LR,0.217784135,1.888107,0.17020849999999998
161327,rfMRI_REST1_LR,0.28941126666666667,1.584402,0.28767149999999997
161630,rfMRI_REST1_LR,0.17942712583333334,0.473938,0.17275249999999998
161731,rfMRI_REST1_LR,0.1913664425,0.605865,0.1780045
161832,rfMRI_REST1_LR,0.4250954825,2.317975,0.328499
162026,rfMRI_REST1_LR,0.16831634,0.467982,0.166001
162228,rfMRI_REST1_LR,0.12186545,0.379113,0.1174405
162329,rfMRI_REST1_LR,0.24689848166666667,0.827291,0.2213675
162733,rfMRI_REST1_LR,0.13795282166666667,0.426064,0.12667650000000003
162935,rfMRI_REST1_LR,0.14988966583333332,0.702528,0.143815
163129,rfMRI_REST1_LR,0.120963075,0.472649,0.114503
163331,rfMRI_REST1_LR,0.4204738,1.084856,0.4120795
163432,rfMRI_REST1_LR,0.17428619666666667,0.666275,0.16962549999999998
163836,rfMRI_REST1_LR,0.28434397166666664,2.117161,0.290569
164030,rfMRI_REST1_LR,0.09372463833333333,0.379466,0.089061
164131,rfMRI_REST1_LR,0.21985542916666667,1.188698,0.195792
164636,rfMRI_REST1_LR,0.10102341916666667,1.594096,0.08486350000000001
164939,rfMRI_REST1_LR,0.19104875333333332,1.080733,0.1851315
165032,rfMRI_REST1_LR,0.13626860583333333,0.65072,0.121731
165234,rfMRI_REST1_LR,0.36426350916666667,1.087815,0.307966
165436,rfMRI_REST1_LR,0.13135139416666666,0.803654,0.1258865
165638,rfMRI_REST1_LR,0.17914094083333335,1.671666,0.163406
165840,rfMRI_REST1_LR,0.1790011025,1.432307,0.1519165
165941,rfMRI_REST1_LR,0.238617715,0.913151,0.22992200000000002
166438,rfMRI_REST1_LR,0.11483533416666666,0.871107,0.10731299999999999
166640,rfMRI_REST1_LR,0.3044400875,0.764771,0.29503250000000003
167036,rfMRI_REST1_LR,0.10735092583333333,0.903508,0.101439
167238,rfMRI_REST1_LR,0.216738965,1.918114,0.17723699999999998
167440,rfMRI_REST1_LR,0.139810695,0.666485,0.13109949999999998
167743,rfMRI_REST1_LR,0.2061917775,0.884623,0.187266
168139,rfMRI_REST1_LR,0.1653587625,1.544031,0.143346
168240,rfMRI_REST1_LR,0.25618759166666666,0.736014,0.25932049999999995
168341,rfMRI_REST1_LR,0.22784690083333334,1.366808,0.1555855
168745,rfMRI_REST1_LR,0.15230207833333334,0.624043,0.1422015
168947,rfMRI_REST1_LR,0.117778225,0.62922,0.1149965
169040,rfMRI_REST1_LR,0.23238631666666668,4.230086,0.175693
169141,rfMRI_REST1_LR,0.1300991475,0.473154,0.1216285
169343,rfMRI_REST1_LR,0.16070827083333333,0.538944,0.15526250000000003
169444,rfMRI_REST1_LR,0.15594315833333333,0.401403,0.14794000000000002
169545,rfMRI_REST1_LR,0.11648036916666667,0.445196,0.108325
169747,rfMRI_REST1_LR,0.1972574775,0.630499,0.185014
169949,rfMRI_REST1_LR,0.14269776583333332,0.511221,0.1316445
170631,rfMRI_REST1_LR,0.19628203,0.582348,0.179794
170934,rfMRI_REST1_LR,0.15196063333333334,0.444734,0.14582650000000003
171128,rfMRI_REST1_LR,0.19379829166666668,1.719725,0.1807935
171330,rfMRI_REST1_LR,0.15057606083333333,0.968042,0.14180500000000001
171431,rfMRI_REST1_LR,0.28543711916666664,7.04111,0.2206415
171532,rfMRI_REST1_LR,0.470665015,2.686259,0.3269985
171633,rfMRI_REST1_LR,0.19437673333333333,1.202346,0.182749
171734,rfMRI_REST1_LR,0.21012188166666668,0.69848,0.204781
172029,rfMRI_REST1_LR,0.16237845083333333,1.005552,0.15417750000000002
172130,rfMRI_REST1_LR,0.09285396083333333,0.451776,0.087452
172332,rfMRI_REST1_LR,0.17102963416666667,0.876257,0.16808800000000002
172433,rfMRI_REST1_LR,0.11757506583333334,0.638883,0.107427
172534,rfMRI_REST1_LR,0.1012743125,0.588248,0.089934
172635,rfMRI_REST1_LR,0.0923244275,0.292289,0.0863515
172938,rfMRI_REST1_LR,0.22469446916666666,1.769398,0.218798
173132,rfMRI_REST1_LR,0.20073235166666667,1.332766,0.1825595
173334,rfMRI_REST1_LR,0.12545851583333334,0.552124,0.112767
173435,rfMRI_REST1_LR,0.09455040333333334,0.268441,0.0913525
173536,rfMRI_REST1_LR,0.126927235,0.520177,0.11773249999999999
173637,rfMRI_REST1_LR,0.19470755,1.163815,0.1779655
173738,rfMRI_REST1_LR,0.15516266,0.760581,0.12282950000000001
173839,rfMRI_REST1_LR,0.13832450916666666,0.550989,0.13251649999999998
173940,rfMRI_REST1_LR,0.11244277833333333,0.425008,0.1076435
174437,rfMRI_REST1_LR,0.113620025,0.521479,0.105166
174841,rfMRI_REST1_LR,0.13828712583333333,1.578906,0.118214
175035,rfMRI_REST1_LR,0.23680847916666667,0.747341,0.22814600000000002
175136,rfMRI_REST1_LR,0.145918135,0.513101,0.137156
175237,rfMRI_REST1_LR,0.14677401916666666,2.863729,0.11683199999999999
175338,rfMRI_REST1_LR,0.16502760583333334,1.549981,0.127286
175439,rfMRI_REST1_LR,0.2744553141666667,0.891014,0.2707205
175540,rfMRI_REST1_LR,0.16426124166666667,1.400345,0.128042
175742,rfMRI_REST1_LR,0.13262763083333334,1.223581,0.1237865
176037,rfMRI_REST1_LR,0.14045727,0.466881,0.13245600000000002
176239,rfMRI_REST1_LR,0.3301692308333333,1.499153,0.29369
176441,rfMRI_REST1_LR,0.13037042666666668,1.375047,0.114516
176542,rfMRI_REST1_LR,0.118915135,0.836712,0.1073605
176744,rfMRI_REST1_LR,0.09956577083333333,0.567665,0.0894645
176845,rfMRI_REST1_LR,0.16952962666666666,0.725402,0.16755799999999998
177140,rfMRI_REST1_LR,0.13197159833333333,0.344754,0.1296975
177241,rfMRI_REST1_LR,0.1518650975,0.799807,0.13178800000000002
177342,rfMRI_REST1_LR,0.1878635825,3.840989,0.1044345
177645,rfMRI_REST1_LR,0.0886076125,0.295703,0.0841805
177746,rfMRI_REST1_LR,0.09956831583333334,0.298651,0.0943665
178142,rfMRI_REST1_LR,0.11304101666666666,0.576425,0.1073615
178243,rfMRI_REST1_LR,0.16732801,0.47575,0.160437
178647,rfMRI_REST1_LR,0.22076781333333334,0.934317,0.200541
178748,rfMRI_REST1_LR,0.16405818916666667,2.969468,0.09636900000000001
178849,rfMRI_REST1_LR,0.11678120166666667,0.511074,0.106263
178950,rfMRI_REST1_LR,0.14076016166666666,0.460331,0.12957800000000003
179245,rfMRI_REST1_LR,0.14939013166666668,0.434893,0.13802350000000002
179346,rfMRI_REST1_LR,0.12876460083333333,1.8048,0.110655
179952,rfMRI_REST1_LR,0.27836331583333335,2.156869,0.260758
180129,rfMRI_REST1_LR,0.28813581416666667,0.598192,0.284879
180230,rfMRI_REST1_LR,0.12244164666666667,0.485921,0.11942749999999999
180432,rfMRI_REST1_LR,0.14684079666666666,0.630414,0.1388305
180533,rfMRI_REST1_LR,0.11975991583333333,0.400146,0.1149525
180735,rfMRI_REST1_LR,0.17135904833333335,0.56477,0.154253
180836,rfMRI_REST1_LR,0.23152901083333333,0.712905,0.228329
180937,rfMRI_REST1_LR,0.14692027833333332,0.479444,0.1304115
181131,rfMRI_REST1_LR,0.20068997416666667,0.701029,0.199691
181232,rfMRI_REST1_LR,0.10089344916666666,0.607115,0.096112
181636,rfMRI_REST1_LR,0.42161007333333334,8.54974,0.20670650000000002
182032,rfMRI_REST1_LR,0.10428860416666667,0.294754,0.10139999999999999
182436,rfMRI_REST1_LR,0.28834122916666666,1.495982,0.2576045
182739,rfMRI_REST1_LR,0.17472172333333333,0.745985,0.167869
182840,rfMRI_REST1_LR,0.14954477333333333,2.731762,0.1091655
183034,rfMRI_REST1_LR,0.11858331916666667,0.344414,0.1138615
183337,rfMRI_REST1_LR,0.6316555258333333,1.948391,0.5492825
183741,rfMRI_REST1_LR,0.14664258583333334,0.547471,0.13130150000000002
185038,rfMRI_REST1_LR,0.12337135583333333,0.780943,0.10548350000000001
185139,rfMRI_REST1_LR,0.17124378666666668,0.600992,0.15844750000000002
185341,rfMRI_REST1_LR,0.17755495083333334,1.455929,0.168016
185442,rfMRI_REST1_LR,0.14425872583333332,1.201105,0.13840550000000001
185846,rfMRI_REST1_LR,0.11515809,1.056651,0.095772
185947,rfMRI_REST1_LR,0.15367170666666666,0.402344,0.1449455
186040,rfMRI_REST1_LR,0.11644203666666667,0.79732,0.10392950000000001
186141,rfMRI_REST1_LR,0.15982355916666666,1.870754,0.142716
186444,rfMRI_REST1_LR,0.12159265083333333,0.613741,0.1078195
186545,rfMRI_REST1_LR,0.11566223666666667,0.74255,0.105297
186848,rfMRI_REST1_LR,0.1671520975,0.589173,0.157292
186949,rfMRI_REST1_LR,0.1396866312364425,0.651965,0.131426
187143,rfMRI_REST1_LR,0.15699902333333332,0.817693,0.1470555
187345,rfMRI_REST1_LR,0.08427833,0.251833,0.0772255
187547,rfMRI_REST1_LR,0.12303193,1.608067,0.108925
187850,rfMRI_REST1_LR,0.1824663775,1.209721,0.16151100000000002
188145,rfMRI_REST1_LR,0.21687677583333334,0.536971,0.2115795
188347,rfMRI_REST1_LR,0.13995196916666666,0.505593,0.1312275
188448,rfMRI_REST1_LR,0.08585652666666667,0.249822,0.0817165
188549,rfMRI_REST1_LR,0.12222770083333333,0.767401,0.109491
188751,rfMRI_REST1_LR,0.29193545583333336,1.6593,0.22035100000000002
189349,rfMRI_REST1_LR,0.1097830725,0.368616,0.1050475
189450,rfMRI_REST1_LR,0.16993176833333334,1.94079,0.1492585
189652,rfMRI_REST1_LR,0.13573862083333332,0.502699,0.12321599999999999
190031,rfMRI_REST1_LR,0.14173286833333335,1.732045,0.1313225
191033,rfMRI_REST1_LR,0.12524984416666668,0.367898,0.118174
191235,rfMRI_REST1_LR,0.18851132166666668,0.725192,0.1655665
191336,rfMRI_REST1_LR,0.11526726833333334,0.905797,0.09495100000000001
191437,rfMRI_REST1_LR,0.32992077416666665,0.843447,0.3219555
191841,rfMRI_REST1_LR,0.1934529475,0.788686,0.1794265
191942,rfMRI_REST1_LR,0.11082702833333333,0.512643,0.10605
192035,rfMRI_REST1_LR,0.10406724,0.284748,0.1003125
192136,rfMRI_REST1_LR,0.10095436083333334,0.667271,0.0926855
192237,rfMRI_REST1_LR,0.14513326666666668,0.668497,0.137964
192439,rfMRI_REST1_LR,0.18656970166666667,0.925948,0.168694
192540,rfMRI_REST1_LR,0.12092194916666667,0.548776,0.103701
192641,rfMRI_REST1_LR,0.121041095,0.513423,0.1153575
192843,rfMRI_REST1_LR,0.11139221166666667,0.416041,0.102313
193239,rfMRI_REST1_LR,0.15635230666666666,0.62076,0.146477
193441,rfMRI_REST1_LR,0.3941626266666667,1.249884,0.3335475
193845,rfMRI_REST1_LR,0.12293245416666666,0.601763,0.111941
194140,rfMRI_REST1_LR,0.1502145875,1.445857,0.13930900000000002
194443,rfMRI_REST1_LR,0.1670403175,0.448729,0.155929
194645,rfMRI_REST1_LR,0.080898785,0.287618,0.0755555
194746,rfMRI_REST1_LR,0.130728505,0.501099,0.12800499999999998
194847,rfMRI_REST1_LR,0.20852435166666666,0.881962,0.20384
195041,rfMRI_REST1_LR,0.1263425425,0.38576,0.12141550000000001
195445,rfMRI_REST1_LR,0.1343345875,0.470039,0.12632149999999998
195647,rfMRI_REST1_LR,0.1992012125,1.344875,0.201076
195849,rfMRI_REST1_LR,0.14994488916666668,0.430045,0.143199
195950,rfMRI_REST1_LR,0.113204495,0.334789,0.104963
196144,rfMRI_REST1_LR,0.1635822125,0.678041,0.1574025
196346,rfMRI_REST1_LR,0.14663281,1.179265,0.125907
196750,rfMRI_REST1_LR,0.25053167833333334,1.309581,0.2323065
196851,rfMRI_REST1_LR,0.22344857666666668,0.663235,0.20498
196952,rfMRI_REST1_LR,0.11489406,0.437207,0.111306
197348,rfMRI_REST1_LR,0.2838709525,1.439527,0.28794200000000003
197550,rfMRI_REST1_LR,0.11726585583333334,0.631762,0.1095015
197651,rfMRI_REST1_LR,0.15911480416666668,1.494189,0.1326065
198047,rfMRI_REST1_LR,0.14802888416666668,0.654737,0.1349225
198249,rfMRI_REST1_LR,0.2678803675,1.105111,0.2376945
198350,rfMRI_REST1_LR,0.21391801,1.648095,0.180581
198451,rfMRI_REST1_LR,0.1471922825,2.09137,0.1340115
198653,rfMRI_REST1_LR,0.11846540916666666,0.860072,0.1082105
198855,rfMRI_REST1_LR,0.1397270275,0.718931,0.09980649999999999
199150,rfMRI_REST1_LR,0.236907555,1.067317,0.2257815
199251,rfMRI_REST1_LR,0.18226247416666666,0.930318,0.1620845
199352,rfMRI_REST1_LR,0.20348408916666666,0.539603,0.18409799999999998
199453,rfMRI_REST1_LR,0.1206099275,0.661064,0.108904
199655,rfMRI_REST1_LR,0.12018358333333333,0.766392,0.107353
199958,rfMRI_REST1_LR,0.1632704625,0.787453,0.14262799999999998
200008,rfMRI_REST1_LR,0.20781097416666666,0.620695,0.202242
200109,rfMRI_REST1_LR,0.094678715,0.440444,0.086005
200210,rfMRI_REST1_LR,0.11491847083333333,0.704226,0.103738
200311,rfMRI_REST1_LR,0.13936835,0.37456,0.130695
200513,rfMRI_REST1_LR,0.10967411916666667,0.925573,0.09506049999999999
200614,rfMRI_REST1_LR,0.1708460875,0.554149,0.16709600000000002
200917,rfMRI_REST1_LR,0.15277419,0.409479,0.144755
201111,rfMRI_REST1_LR,0.09968509583333333,3.152314,0.0890905
201414,rfMRI_REST1_LR,0.27136104666666666,3.444188,0.2206005
201515,rfMRI_REST1_LR,0.2545935675,2.212996,0.1798865
201717,rfMRI_REST1_LR,0.07884767833333334,0.211559,0.074195
201818,rfMRI_REST1_LR,0.1212119725,0.335437,0.1144965
202113,rfMRI_REST1_LR,0.1955448175,1.046398,0.1696675
202719,rfMRI_REST1_LR,0.11567351,0.414234,0.1125945
202820,rfMRI_REST1_LR,0.18736282333333334,1.51029,0.1647595
203418,rfMRI_REST1_LR,0.1121554,0.339306,0.10482549999999999
203923,rfMRI_REST1_LR,0.19881820083333335,3.319501,0.1591685
204016,rfMRI_REST1_LR,0.17714519833333334,0.779591,0.1632995
204218,rfMRI_REST1_LR,0.15676555416666665,0.34784,0.1532115
204319,rfMRI_REST1_LR,0.14320988833333334,0.400302,0.1330865
204420,rfMRI_REST1_LR,0.104642585,0.796897,0.09332599999999999
204521,rfMRI_REST1_LR,0.13896201666666666,0.616364,0.139491
204622,rfMRI_REST1_LR,0.16275598666666666,0.427282,0.158706
205119,rfMRI_REST1_LR,0.14864717833333332,1.305596,0.1233505
205220,rfMRI_REST1_LR,0.43846914666666664,1.473224,0.3453775
205725,rfMRI_REST1_LR,0.14944501416666667,1.156321,0.1322145
205826,rfMRI_REST1_LR,0.16844974833333334,1.203758,0.148088
206222,rfMRI_REST1_LR,0.13344188666666668,0.578172,0.1171475
206323,rfMRI_REST1_LR,0.21957127416666666,0.616864,0.2021015
206525,rfMRI_REST1_LR,0.13170558583333333,0.6375,0.11010249999999999
206727,rfMRI_REST1_LR,0.22644069666666666,0.766429,0.1999245
206828,rfMRI_REST1_LR,0.133191265,1.010575,0.1235835
206929,rfMRI_REST1_LR,0.1891747,1.659278,0.1682785
207123,rfMRI_REST1_LR,0.28447221083333335,2.12992,0.2183545
207426,rfMRI_REST1_LR,0.2773272025,0.86993,0.2654395
208024,rfMRI_REST1_LR,0.20028050666666666,0.511123,0.193527
208125,rfMRI_REST1_LR,0.11004664166666667,0.451376,0.10273850000000001
208226,rfMRI_REST1_LR,0.1647924025,0.778183,0.1563875
208327,rfMRI_REST1_LR,0.106519665,0.369867,0.10032150000000001
208428,rfMRI_REST1_LR,0.3723622458333333,8.504263,0.203057
208630,rfMRI_REST1_LR,0.22545689,2.369921,0.1883455
209127,rfMRI_REST1_LR,0.22546284583333334,0.698272,0.213565
209228,rfMRI_REST1_LR,0.12722651833333334,0.695467,0.119037
209329,rfMRI_REST1_LR,0.12986483333333335,0.37333,0.125999
209531,rfMRI_REST1_LR,0.14109030833333333,0.476306,0.1235745
209834,rfMRI_REST1_LR,0.30953806166666664,1.515894,0.306406
209935,rfMRI_REST1_LR,0.09722390916666666,1.913664,0.0790725
210011,rfMRI_REST1_LR,0.080571215,0.987052,0.0736845
210112,rfMRI_REST1_LR,0.12117480166666666,0.83558,0.1109555
